% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[206.7100 - 209.2800],Ses05M_impro07_F045,hap,"[4.0000, 2.5000, 2.5000]",
[211.6700 - 213.3300],Ses05M_impro07_F046,xxx,"[4.0000, 2.0000, 2.0000]",
[4.1200 - 6.4700],Ses05M_impro07_M000,exc,"[4.5000, 2.0000, 2.0000]",
[6.4900 - 9.0600],Ses05M_impro07_M001,exc,"[5.0000, 3.0000, 2.5000]",i i
[9.0700 - 12.1151],Ses05M_impro07_M002,exc,"[5.0000, 3.5000, 3.0000]",i i
[12.1251 - 14.4800],Ses05M_impro07_M003,exc,"[5.0000, 3.0000, 2.5000]",i i i
[14.8100 - 18.1700],Ses05M_impro07_M004,exc,"[4.0000, 3.5000, 2.5000]",
[18.3300 - 19.6900],Ses05M_impro07_M005,exc,"[4.0000, 3.5000, 2.5000]",
[19.8000 - 20.9300],Ses05M_impro07_M006,exc,"[4.0000, 3.0000, 2.0000]",
[20.9400 - 22.5300],Ses05M_impro07_M007,exc,"[4.0000, 3.5000, 3.0000]",i
[22.5700 - 27.5700],Ses05M_impro07_M008,xxx,"[4.0000, 3.0000, 2.5000]",i i i
[27.9100 - 33.1200],Ses05M_impro07_M009,hap,"[4.0000, 2.5000, 2.0000]",i i i i i
[33.1300 - 38.8600],Ses05M_impro07_M010,xxx,"[4.5000, 3.0000, 2.5000]",i i
[40.5100 - 47.0800],Ses05M_impro07_M011,exc,"[4.0000, 3.5000, 2.5000]",i i
[47.1300 - 49.2400],Ses05M_impro07_M012,xxx,"[4.0000, 3.5000, 2.5000]",
[49.6700 - 51.7100],Ses05M_impro07_M013,exc,"[4.0000, 3.0000, 2.0000]",
[54.3300 - 58.0600],Ses05M_impro07_M014,exc,"[5.0000, 3.5000, 2.5000]",
[62.7600 - 64.3900],Ses05M_impro07_M015,xxx,"[3.5000, 3.0000, 3.0000]",
[64.4000 - 66.0900],Ses05M_impro07_M016,exc,"[3.5000, 3.0000, 2.5000]",a
[66.1100 - 71.1000],Ses05M_impro07_M017,exc,"[4.0000, 2.5000, 2.5000]",i i
[71.1200 - 76.1300],Ses05M_impro07_M018,exc,"[3.5000, 2.5000, 2.5000]",i i
[76.9900 - 83.4600],Ses05M_impro07_M019,exc,"[3.5000, 3.0000, 2.5000]",i i i a
[83.4800 - 86.1000],Ses05M_impro07_M020,exc,"[3.5000, 3.5000, 2.0000]",
[89.6200 - 91.0700],Ses05M_impro07_M021,exc,"[4.0000, 3.0000, 2.5000]",
[92.3800 - 99.5000],Ses05M_impro07_M022,exc,"[4.5000, 3.0000, 3.0000]",i
[99.7600 - 101.1900],Ses05M_impro07_M023,exc,"[4.0000, 3.0000, 2.0000]",
[102.0000 - 104.3200],Ses05M_impro07_M024,exc,"[3.0000, 3.5000, 2.0000]",i i a
[104.3900 - 110.2900],Ses05M_impro07_M025,exc,"[2.5000, 3.0000, 2.0000]",i i
[110.7800 - 113.2000],Ses05M_impro07_M026,exc,"[3.5000, 2.0000, 2.5000]",i
[116.0700 - 117.6800],Ses05M_impro07_M027,xxx,"[3.5000, 4.0000, 2.0000]",
[119.6400 - 124.5000],Ses05M_impro07_M028,exc,"[3.5000, 3.0000, 2.0000]",a i i
[124.9800 - 126.9900],Ses05M_impro07_M029,exc,"[3.0000, 3.0000, 2.5000]",i i
[129.1500 - 130.2400],Ses05M_impro07_M030,exc,"[4.5000, 3.5000, 2.0000]",
[130.3300 - 132.5300],Ses05M_impro07_M031,exc,"[4.0000, 3.5000, 2.5000]",
[138.1400 - 139.4700],Ses05M_impro07_M032,exc,"[4.0000, 3.0000, 2.0000]",
[139.7400 - 140.7600],Ses05M_impro07_M033,exc,"[4.0000, 3.5000, 2.5000]",
[140.8300 - 144.6400],Ses05M_impro07_M034,exc,"[4.0000, 2.5000, 2.5000]",i i
[144.6500 - 145.7800],Ses05M_impro07_M035,exc,"[3.5000, 3.0000, 2.0000]",
[147.1600 - 154.8300],Ses05M_impro07_M036,exc,"[3.5000, 2.0000, 2.5000]",i a i i
[154.8326 - 159.2100],Ses05M_impro07_M037,exc,"[4.0000, 2.5000, 2.5000]",i
[159.7200 - 163.9900],Ses05M_impro07_M038,xxx,"[4.0000, 2.5000, 2.0000]",
[164.0100 - 172.3900],Ses05M_impro07_M039,hap,"[4.0000, 2.5000, 2.0000]",i i i
[172.4300 - 179.9000],Ses05M_impro07_M040,exc,"[4.0000, 3.5000, 2.5000]",i i i i a i
[179.9100 - 184.0100],Ses05M_impro07_M041,exc,"[4.0000, 4.5000, 2.5000]",a a
[185.5500 - 187.4900],Ses05M_impro07_M042,exc,"[3.5000, 2.5000, 2.5000]",i i
[187.5600 - 192.3900],Ses05M_impro07_M043,exc,"[4.0000, 3.5000, 2.5000]",i i
[192.4400 - 198.0700],Ses05M_impro07_M044,exc,"[4.0000, 3.0000, 2.5000]",i
[200.4800 - 205.3900],Ses05M_impro07_M045,exc,"[4.0000, 3.0000, 2.5000]",i i
[205.6300 - 207.0500],Ses05M_impro07_M046,hap,"[4.0000, 2.5000, 2.0000]",
[208.6000 - 212.1100],Ses05M_impro07_M047,exc,"[4.0000, 3.0000, 2.0000]",
