% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[225.4600 - 229.8700],Ses05M_script01_3_M024,xxx,"[3.0000, 3.0000, 3.0000]",i i a
[231.5268 - 233.1245],Ses05M_script01_3_M025,sad,"[2.0000, 3.0000, 3.5000]",i
[236.3100 - 238.4200],Ses05M_script01_3_M026,sad,"[2.0000, 2.0000, 3.0000]",
[241.8900 - 249.8300],Ses05M_script01_3_M027,sad,"[2.5000, 3.5000, 3.5000]",i
[250.5300 - 263.2400],Ses05M_script01_3_M028,xxx,"[2.0000, 3.5000, 4.0000]",
[263.4100 - 278.5700],Ses05M_script01_3_M029,sad,"[2.0000, 3.5000, 3.5000]",i a i
[278.6600 - 291.3600],Ses05M_script01_3_M030,sad,"[2.0000, 4.0000, 4.0000]",i a i
[291.6400 - 308.2300],Ses05M_script01_3_M031,xxx,"[2.5000, 4.0000, 4.5000]",i i
[308.7600 - 320.8700],Ses05M_script01_3_M032,xxx,"[4.0000, 4.5000, 4.5000]",a a
[320.9400 - 336.4500],Ses05M_script01_3_M033,sad,"[2.5000, 3.5000, 4.0000]",i
[336.5200 - 345.2700],Ses05M_script01_3_M034,xxx,"[2.0000, 3.5000, 4.0000]",i
[346.3400 - 350.3400],Ses05M_script01_3_M035,xxx,"[2.5000, 3.5000, 3.5000]",i
[360.8700 - 371.3900],Ses05M_script01_3_M036,sad,"[1.5000, 3.5000, 4.0000]",i
[371.4300 - 383.6158],Ses05M_script01_3_M037,fru,"[2.0000, 4.0000, 4.0000]",i
[383.6258 - 399.3100],Ses05M_script01_3_M038,fru,"[2.5000, 4.5000, 5.0000]",a a a i
[403.0000 - 405.2800],Ses05M_script01_3_M039,sad,"[2.0000, 3.5000, 3.0000]",i
[410.9900 - 413.4300],Ses05M_script01_3_M040,sad,"[3.5000, 3.0000, 3.5000]",i
[430.4700 - 432.3400],Ses05M_script01_3_M041,exc,"[4.0000, 3.5000, 4.0000]",
[432.4000 - 435.1500],Ses05M_script01_3_M042,hap,"[4.0000, 4.5000, 4.5000]",i a
