% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]"
[158.1200 - 160.0200],Ses05F_impro07_F033,exc,"[5.0000, 4.0000, 4.0000]"
[162.8100 - 164.0400],Ses05F_impro07_F034,exc,"[4.0000, 2.5000, 3.0000]"
[169.4400 - 172.3700],Ses05F_impro07_F035,exc,"[3.5000, 3.0000, 3.5000]"
[172.6600 - 174.0200],Ses05F_impro07_F036,exc,"[3.5000, 2.5000, 3.0000]"
[174.6500 - 175.7300],Ses05F_impro07_F037,exc,"[4.0000, 2.5000, 2.5000]"
[177.2100 - 179.1400],Ses05F_impro07_F038,exc,"[4.5000, 3.5000, 4.0000]"
[179.6000 - 180.7600],Ses05F_impro07_F039,exc,"[4.5000, 3.5000, 3.5000]"
[4.2400 - 5.2953],Ses05F_impro07_M000,exc,"[4.0000, 3.0000, 3.5000]"
[7.1500 - 10.0800],Ses05F_impro07_M001,exc,"[4.0000, 3.5000, 3.5000]"
[10.1100 - 12.3400],Ses05F_impro07_M002,exc,"[4.5000, 4.5000, 4.0000]"
[12.3600 - 14.2600],Ses05F_impro07_M003,exc,"[4.5000, 3.5000, 4.0000]"
[14.4500 - 17.7449],Ses05F_impro07_M004,exc,"[4.5000, 3.5000, 4.0000]"
[17.7762 - 19.9400],Ses05F_impro07_M005,exc,"[3.5000, 3.0000, 3.5000]"
[21.0600 - 25.8200],Ses05F_impro07_M006,exc,"[4.0000, 3.5000, 3.5000]"
[27.2000 - 31.3700],Ses05F_impro07_M007,hap,"[3.5000, 3.5000, 4.5000]"
[31.6200 - 34.0900],Ses05F_impro07_M008,exc,"[4.5000, 4.0000, 4.0000]"
[34.9000 - 42.6100],Ses05F_impro07_M009,exc,"[3.5000, 3.0000, 3.0000]"
[43.4300 - 44.9000],Ses05F_impro07_M010,xxx,"[4.0000, 2.5000, 3.0000]"
[44.9400 - 50.1700],Ses05F_impro07_M011,exc,"[4.0000, 3.0000, 3.5000]"
[50.6600 - 53.3286],Ses05F_impro07_M012,exc,"[4.5000, 3.0000, 4.0000]"
[53.3599 - 55.9900],Ses05F_impro07_M013,exc,"[4.5000, 4.0000, 4.0000]"
[56.7900 - 60.9500],Ses05F_impro07_M014,exc,"[4.5000, 3.0000, 4.0000]"
[63.7300 - 71.2400],Ses05F_impro07_M015,exc,"[4.5000, 3.5000, 4.5000]"
[72.3700 - 77.5000],Ses05F_impro07_M016,exc,"[4.5000, 4.5000, 4.5000]"
[79.0300 - 81.5400],Ses05F_impro07_M017,exc,"[4.0000, 3.5000, 4.0000]"
[81.5700 - 88.1600],Ses05F_impro07_M018,exc,"[3.5000, 3.0000, 4.0000]"
[89.2200 - 90.1600],Ses05F_impro07_M019,exc,"[2.5000, 2.5000, 3.0000]"
[90.1700 - 96.2000],Ses05F_impro07_M020,exc,"[3.0000, 3.5000, 3.5000]"
[97.7800 - 101.5000],Ses05F_impro07_M021,exc,"[3.0000, 3.0000, 4.0000]"
[102.4500 - 104.7600],Ses05F_impro07_M022,xxx,"[3.5000, 4.0000, 3.5000]"
[107.7700 - 118.1600],Ses05F_impro07_M023,xxx,"[4.0000, 3.5000, 4.0000]"
[118.9700 - 122.6400],Ses05F_impro07_M024,exc,"[4.5000, 3.5000, 4.5000]"
[122.6500 - 128.7700],Ses05F_impro07_M025,exc,"[4.0000, 4.0000, 4.0000]"
[128.8000 - 131.5300],Ses05F_impro07_M026,exc,"[4.0000, 3.5000, 3.5000]"
[132.6900 - 136.2300],Ses05F_impro07_M027,exc,"[4.0000, 3.5000, 4.0000]"
[137.9600 - 143.9700],Ses05F_impro07_M028,xxx,"[3.5000, 3.5000, 4.0000]"
[143.9800 - 149.6700],Ses05F_impro07_M029,exc,"[4.0000, 3.5000, 4.0000]"
[151.0200 - 161.4800],Ses05F_impro07_M030,exc,"[4.0000, 3.5000, 4.5000]"
[161.5700 - 163.0800],Ses05F_impro07_M031,exc,"[4.0000, 3.5000, 3.5000]"
[164.3500 - 170.8000],Ses05F_impro07_M032,exc,"[4.5000, 4.0000, 4.0000]"
[171.6300 - 173.1400],Ses05F_impro07_M033,exc,"[4.0000, 3.5000, 3.5000]"
[173.6500 - 175.5400],Ses05F_impro07_M034,exc,"[4.0000, 3.0000, 3.0000]"
[175.5500 - 178.9500],Ses05F_impro07_M035,exc,"[3.5000, 3.0000, 3.5000]"
[179.0466 - 185.3300],Ses05F_impro07_M036,exc,"[4.0000, 3.5000, 3.5000]"
