% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]"
[205.9800 - 213.1700],Ses05F_impro02_F025,fru,"[1.5000, 3.5000, 3.0000]"
[223.6300 - 233.5000],Ses05F_impro02_F026,fru,"[2.0000, 3.0000, 3.5000]"
[238.6500 - 240.4100],Ses05F_impro02_F027,sad,"[1.5000, 3.0000, 2.0000]"
[246.3500 - 248.2000],Ses05F_impro02_F028,sad,"[1.5000, 3.5000, 2.0000]"
[252.2100 - 262.6900],Ses05F_impro02_F029,sad,"[2.0000, 2.5000, 2.5000]"
[265.5084 - 269.0981],Ses05F_impro02_F030,xxx,"[2.0000, 2.5000, 2.0000]"
[285.7900 - 289.1700],Ses05F_impro02_F031,sad,"[1.0000, 4.0000, 1.5000]"
[291.0500 - 294.9200],Ses05F_impro02_F032,sad,"[1.0000, 3.0000, 2.0000]"
[298.0200 - 301.2800],Ses05F_impro02_F033,xxx,"[1.5000, 2.5000, 2.5000]"
[307.5400 - 310.2100],Ses05F_impro02_F034,sad,"[2.5000, 2.0000, 2.0000]"
[311.9000 - 316.1000],Ses05F_impro02_F035,sad,"[2.0000, 2.0000, 1.5000]"
[318.9700 - 320.7100],Ses05F_impro02_F036,sad,"[2.0000, 1.0000, 1.0000]"
[328.2000 - 329.4000],Ses05F_impro02_F037,sad,"[2.0000, 1.0000, 1.0000]"
[335.2658 - 343.4000],Ses05F_impro02_F038,sad,"[1.5000, 3.5000, 1.5000]"
[7.6018 - 10.4300],Ses05F_impro02_M000,neu,"[3.0000, 2.5000, 1.5000]"
[15.5400 - 18.2200],Ses05F_impro02_M001,xxx,"[2.5000, 2.5000, 1.5000]"
[23.2800 - 24.8100],Ses05F_impro02_M002,xxx,"[2.5000, 3.0000, 1.5000]"
[31.5600 - 33.2600],Ses05F_impro02_M003,xxx,"[2.5000, 3.0000, 1.5000]"
[38.4900 - 40.6800],Ses05F_impro02_M004,ang,"[1.5000, 2.5000, 1.0000]"
[41.8900 - 44.9700],Ses05F_impro02_M005,ang,"[1.5000, 2.5000, 2.0000]"
[50.1000 - 52.3200],Ses05F_impro02_M006,fru,"[1.5000, 3.0000, 1.0000]"
[54.1800 - 59.5700],Ses05F_impro02_M007,xxx,"[1.5000, 3.5000, 2.0000]"
[60.3500 - 61.9000],Ses05F_impro02_M008,fru,"[1.5000, 3.0000, 1.5000]"
[65.1400 - 69.6600],Ses05F_impro02_M009,xxx,"[1.5000, 3.0000, 1.5000]"
[80.4600 - 83.4400],Ses05F_impro02_M010,ang,"[2.0000, 3.5000, 2.5000]"
[85.6700 - 90.1700],Ses05F_impro02_M011,xxx,"[1.5000, 3.5000, 2.0000]"
[94.9700 - 97.4600],Ses05F_impro02_M012,xxx,"[1.5000, 3.0000, 2.0000]"
[99.3300 - 103.4000],Ses05F_impro02_M013,xxx,"[1.5000, 3.5000, 3.0000]"
[103.9163 - 108.1300],Ses05F_impro02_M014,ang,"[1.5000, 3.5000, 2.5000]"
[109.4000 - 116.8600],Ses05F_impro02_M015,ang,"[1.5000, 4.0000, 3.5000]"
[120.5800 - 125.5400],Ses05F_impro02_M016,fru,"[1.5000, 2.5000, 2.0000]"
[127.3700 - 131.8400],Ses05F_impro02_M017,xxx,"[1.5000, 4.0000, 3.0000]"
[131.9300 - 136.2100],Ses05F_impro02_M018,xxx,"[1.5000, 3.5000, 2.5000]"
[137.6900 - 141.9100],Ses05F_impro02_M019,sur,"[1.5000, 4.0000, 2.5000]"
[142.8000 - 146.9500],Ses05F_impro02_M020,xxx,"[1.5000, 3.0000, 2.0000]"
[147.8300 - 150.6600],Ses05F_impro02_M021,xxx,"[1.5000, 2.5000, 2.0000]"
[151.6700 - 156.6800],Ses05F_impro02_M022,xxx,"[1.5000, 3.5000, 1.0000]"
[159.1700 - 166.0100],Ses05F_impro02_M023,xxx,"[1.5000, 3.5000, 2.0000]"
[166.0500 - 169.5200],Ses05F_impro02_M024,sad,"[1.5000, 3.5000, 1.5000]"
[181.7500 - 183.7300],Ses05F_impro02_M025,sad,"[1.0000, 3.5000, 1.0000]"
[189.2800 - 200.1600],Ses05F_impro02_M026,sad,"[1.5000, 3.5000, 1.5000]"
[203.4300 - 207.0000],Ses05F_impro02_M027,xxx,"[1.5000, 3.5000, 3.0000]"
[212.6000 - 224.5500],Ses05F_impro02_M028,xxx,"[1.5000, 4.0000, 1.5000]"
[233.4100 - 240.2300],Ses05F_impro02_M029,sad,"[1.5000, 3.0000, 1.0000]"
[240.5300 - 247.4700],Ses05F_impro02_M030,xxx,"[1.5000, 3.5000, 1.5000]"
[249.9654 - 252.0563],Ses05F_impro02_M031,sad,"[1.5000, 1.5000, 1.0000]"
[262.9800 - 264.8200],Ses05F_impro02_M032,sad,"[1.5000, 3.5000, 1.0000]"
[269.5200 - 278.8500],Ses05F_impro02_M033,sad,"[1.5000, 3.0000, 1.0000]"
[280.4300 - 286.6900],Ses05F_impro02_M034,sad,"[2.0000, 2.5000, 1.5000]"
[289.0500 - 291.1800],Ses05F_impro02_M035,sad,"[1.5000, 3.5000, 1.5000]"
[293.4100 - 299.9900],Ses05F_impro02_M036,sad,"[1.5000, 3.0000, 2.0000]"
[301.1900 - 307.9200],Ses05F_impro02_M037,xxx,"[2.0000, 3.0000, 2.5000]"
[309.8100 - 312.1800],Ses05F_impro02_M038,xxx,"[1.5000, 3.0000, 1.5000]"
[315.4100 - 319.4100],Ses05F_impro02_M039,sur,"[1.5000, 4.0000, 1.0000]"
[320.3500 - 328.8200],Ses05F_impro02_M040,xxx,"[1.5000, 2.0000, 2.5000]"
[332.8230 - 335.1399],Ses05F_impro02_M041,sad,"[2.0000, 2.5000, 2.0000]"
