% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]"
[347.3700 - 348.7200],Ses05M_script02_1_F020,xxx,"[3.0000, 2.0000, 2.5000]"
[3.7900 - 24.8400],Ses05M_script02_1_M000,exc,"[5.0000, 4.5000, 4.0000]"
[25.5200 - 40.6800],Ses05M_script02_1_M001,exc,"[4.0000, 4.0000, 4.0000]"
[40.6900 - 56.7800],Ses05M_script02_1_M002,exc,"[4.0000, 4.5000, 4.5000]"
[57.5700 - 61.1400],Ses05M_script02_1_M003,exc,"[2.0000, 4.0000, 4.5000]"
[62.9000 - 63.9700],Ses05M_script02_1_M004,xxx,"[3.0000, 2.0000, 2.5000]"
[70.0300 - 77.2800],Ses05M_script02_1_M005,exc,"[4.0000, 4.0000, 4.0000]"
[77.3000 - 89.8100],Ses05M_script02_1_M006,exc,"[4.0000, 4.0000, 4.0000]"
[90.3300 - 105.5200],Ses05M_script02_1_M007,exc,"[3.0000, 4.0000, 4.5000]"
[105.5600 - 116.0900],Ses05M_script02_1_M008,exc,"[3.0000, 4.0000, 4.0000]"
[116.1000 - 122.9000],Ses05M_script02_1_M009,exc,"[3.5000, 4.0000, 4.5000]"
[122.9100 - 124.3900],Ses05M_script02_1_M010,exc,"[2.5000, 4.0000, 3.5000]"
[126.4700 - 134.1400],Ses05M_script02_1_M011,xxx,"[2.0000, 4.0000, 4.0000]"
[134.6700 - 136.0000],Ses05M_script02_1_M012,xxx,"[4.0000, 3.0000, 3.5000]"
[136.1700 - 137.5600],Ses05M_script02_1_M013,xxx,"[4.0000, 4.0000, 3.5000]"
[138.0100 - 143.6900],Ses05M_script02_1_M014,xxx,"[2.0000, 4.0000, 4.5000]"
[145.0200 - 146.8500],Ses05M_script02_1_M015,xxx,"[2.0000, 3.5000, 3.5000]"
[149.1200 - 150.6700],Ses05M_script02_1_M016,fru,"[1.5000, 3.5000, 3.5000]"
[154.6200 - 164.0679],Ses05M_script02_1_M017,exc,"[3.0000, 4.0000, 4.5000]"
[164.0779 - 173.3600],Ses05M_script02_1_M018,exc,"[2.5000, 4.0000, 4.5000]"
[179.1600 - 185.5500],Ses05M_script02_1_M019,exc,"[3.0000, 4.0000, 4.5000]"
[185.5600 - 194.6549],Ses05M_script02_1_M020,exc,"[2.0000, 4.0000, 4.5000]"
[194.6649 - 201.6300],Ses05M_script02_1_M021,exc,"[5.0000, 4.5000, 4.5000]"
[206.5600 - 208.2700],Ses05M_script02_1_M022,fru,"[2.0000, 3.5000, 3.5000]"
[208.8900 - 227.0400],Ses05M_script02_1_M023,exc,"[3.5000, 4.0000, 4.5000]"
[228.5500 - 230.1800],Ses05M_script02_1_M024,fru,"[2.5000, 2.5000, 3.5000]"
[230.6100 - 245.0700],Ses05M_script02_1_M025,fru,"[2.0000, 4.5000, 4.5000]"
[252.9300 - 254.8500],Ses05M_script02_1_M026,xxx,"[2.0000, 3.5000, 3.5000]"
[256.6800 - 263.5500],Ses05M_script02_1_M027,xxx,"[3.0000, 4.0000, 4.5000]"
[270.5500 - 276.6800],Ses05M_script02_1_M028,exc,"[3.0000, 4.0000, 4.5000]"
[276.8500 - 285.1000],Ses05M_script02_1_M029,exc,"[4.5000, 4.0000, 4.5000]"
[285.1312 - 319.2700],Ses05M_script02_1_M030,exc,"[4.5000, 5.0000, 5.0000]"
[321.5400 - 333.1800],Ses05M_script02_1_M031,exc,"[4.0000, 5.0000, 4.5000]"
[333.1900 - 348.2400],Ses05M_script02_1_M032,exc,"[5.0000, 5.0000, 5.0000]"
[348.4000 - 353.2800],Ses05M_script02_1_M033,exc,"[4.0000, 4.0000, 4.5000]"
