% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]"
[332.5875 - 336.5306],Ses05F_script02_2_M032,sad,"[2.0000, 2.5000, 3.0000]"
[337.5900 - 342.5200],Ses05F_script02_2_M033,sad,"[1.5000, 2.5000, 2.5000]"
[349.2620 - 351.2002],Ses05F_script02_2_M034,xxx,"[3.5000, 3.0000, 2.5000]"
[374.2571 - 381.1073],Ses05F_script02_2_M035,hap,"[4.0000, 2.5000, 3.0000]"
[387.1700 - 393.8721],Ses05F_script02_2_M036,hap,"[4.0000, 3.5000, 3.0000]"
[404.2645 - 407.2719],Ses05F_script02_2_M037,hap,"[4.0000, 3.5000, 3.0000]"
[408.9600 - 411.1700],Ses05F_script02_2_M038,xxx,"[4.0000, 3.0000, 3.0000]"
[413.0528 - 417.4700],Ses05F_script02_2_M039,xxx,"[4.0000, 3.0000, 2.0000]"
[428.1568 - 433.3362],Ses05F_script02_2_M040,hap,"[4.0000, 3.0000, 2.5000]"
[436.5441 - 438.3820],Ses05F_script02_2_M041,hap,"[3.5000, 2.0000, 2.5000]"
